"Week End","Week End Last Year","Region","Crude Volumes For The Week","Percent Of Capacity","4 Week Average","4 Week Average Last Year","YTD Average","YTD Average Last Year","Unit"
"04/24/1990","01/02/1990","Quebec & Eastern Canada","71.370","78.340","75.780","86.050","83.450","86.050","thousand cubic metres per day"
"04/24/1990","01/02/1990","Western Canada","64.850","76.650","70.740","63.770","69.650","63.770","thousand cubic metres per day"
"05/01/1990","01/02/1990","Ontario","53.600","51.890","66.460","83.360","77.890","83.360","thousand cubic metres per day"
"05/01/1990","01/02/1990","Quebec & Eastern Canada","65.980","72.430","72.050","86.050","82.470","86.050","thousand cubic metres per day"
"05/01/1990","01/02/1990","Western Canada","66.620","78.750","68.450","63.770","69.480","63.770","thousand cubic metres per day"
"05/08/1990","01/02/1990","Ontario","56.830","55.010","59.890","83.360","76.780","83.360","thousand cubic metres per day"
"05/08/1990","01/02/1990","Quebec & Eastern Canada","80.820","88.720","71.610","86.050","82.390","86.050","thousand cubic metres per day"
"05/08/1990","01/02/1990","Western Canada","59.510","70.340","65.580","63.770","68.950","63.770","thousand cubic metres per day"
"05/15/1990","01/02/1990","Ontario","60.350","58.420","56.490","83.360","75.960","83.360","thousand cubic metres per day"
"05/15/1990","01/02/1990","Quebec & Eastern Canada","84.910","93.210","75.770","86.050","82.520","86.050","thousand cubic metres per day"
"05/15/1990","01/02/1990","Western Canada","60.250","71.220","62.810","63.770","68.520","63.770","thousand cubic metres per day"
"05/22/1990","01/02/1990","Ontario","58.520","56.650","57.330","83.360","75.130","83.360","thousand cubic metres per day"
"05/22/1990","01/02/1990","Quebec & Eastern Canada","88.600","97.260","80.080","86.050","82.810","86.050","thousand cubic metres per day"
"05/22/1990","01/02/1990","Western Canada","64.730","76.510","62.780","63.770","68.340","63.770","thousand cubic metres per day"
"05/29/1990","01/02/1990","Ontario","73.700","71.350","62.350","83.360","75.060","83.360","thousand cubic metres per day"
"05/29/1990","01/02/1990","Quebec & Eastern Canada","82.800","90.890","84.280","86.050","82.800","86.050","thousand cubic metres per day"
"05/29/1990","01/02/1990","Western Canada","67.810","80.150","63.080","63.770","68.310","63.770","thousand cubic metres per day"
"06/05/1990","01/02/1990","Ontario","66.200","64.090","64.700","83.360","74.680","83.360","thousand cubic metres per day"
"06/05/1990","01/02/1990","Quebec & Eastern Canada","76.810","84.310","83.280","86.050","82.540","86.050","thousand cubic metres per day"
"06/05/1990","01/02/1990","Western Canada","71.760","84.820","66.140","63.770","68.460","63.770","thousand cubic metres per day"
"06/12/1990","01/02/1990","Ontario","59.630","57.730","64.510","83.360","74.050","83.360","thousand cubic metres per day"
"06/12/1990","01/02/1990","Quebec & Eastern Canada","76.920","84.430","81.280","86.050","82.310","86.050","thousand cubic metres per day"
"06/12/1990","01/02/1990","Western Canada","69.750","82.450","68.520","63.770","68.520","63.770","thousand cubic metres per day"
"06/19/1990","01/02/1990","Ontario","64.240","62.190","65.940","83.360","73.660","83.360","thousand cubic metres per day"
"06/19/1990","01/02/1990","Quebec & Eastern Canada","76.970","84.490","78.380","86.050","82.100","86.050","thousand cubic metres per day"
"06/19/1990","01/02/1990","Western Canada","76.260","90.140","71.400","63.770","68.830","63.770","thousand cubic metres per day"
"06/26/1990","01/02/1990","Ontario","81.460","78.860","67.880","83.360","73.960","83.360","thousand cubic metres per day"
"06/26/1990","01/02/1990","Quebec & Eastern Canada","71.680","78.680","75.600","86.050","81.690","86.050","thousand cubic metres per day"
"06/26/1990","01/02/1990","Western Canada","77.560","91.680","73.840","63.770","69.160","63.770","thousand cubic metres per day"
"07/03/1990","01/02/1990","Ontario","80.960","78.370","71.580","83.360","74.220","83.360","thousand cubic metres per day"
"07/03/1990","01/02/1990","Quebec & Eastern Canada","70.070","76.920","73.910","86.050","81.260","86.050","thousand cubic metres per day"
"07/03/1990","01/02/1990","Western Canada","76.650","90.600","75.060","63.770","69.440","63.770","thousand cubic metres per day"
"07/10/1990","01/02/1990","Ontario","80.870","78.290","76.880","83.360","74.460","83.360","thousand cubic metres per day"
"07/10/1990","01/02/1990","Quebec & Eastern Canada","74.820","82.130","73.390","86.050","81.040","86.050","thousand cubic metres per day"
"07/10/1990","01/02/1990","Western Canada","76.420","90.330","76.730","63.770","69.690","63.770","thousand cubic metres per day"
